Wiki_ID;Title;Author;Genre
620;Animal Farm;George Orwell;"['Roman à clef', 'Satire', ""Children's literature"", 'Speculative fiction', 'Fiction']"
843;A Clockwork Orange;Anthony Burgess;['Science Fiction', 'Novella', 'Speculative fiction', 'Utopian and dystopian fiction', 'Satire', 'Fiction']
986;The Plague;Albert Camus;['Existentialism', 'Fiction', 'Absurdist fiction', 'Novel']
2080;A Fire Upon the Deep;Vernor Vinge;['Hard science fiction', 'Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']
2152;All Quiet on the Western Front;Erich Maria Remarque;['War novel', 'Roman à clef']
2890;A Wizard of Earthsea;Ursula K. Le Guin;"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Bildungsroman', 'Fiction']"
4081;Blade Runner 3: Replicant Night;K. W. Jeter;['Science Fiction', 'Speculative fiction']
4082;Blade Runner 2: The Edge of Human;K. W. Jeter;['Science Fiction', 'Speculative fiction']
4386;Book of Job;;['Religious text']
6020;Crash;J. G. Ballard;['Speculative fiction', 'Fiction', 'Novel']
6628;Children of Dune;Frank Herbert;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
6629;Candide, ou l'Optimisme;Voltaire;['Satire', 'Bildungsroman', 'Picaresque novel']
6630;Chapterhouse Dune;Frank Herbert;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
6921;Carmilla;Sheridan Le Fanu;['Gothic fiction']
7817;The Cider House Rules;John Irving;['Fiction']
7923;Dracula;Bram Stoker;['Science Fiction', 'Speculative fiction', 'Horror', 'Invasion literature', 'Mystery', 'Epistolary novel', 'Fantasy', 'Fiction', 'Gothic fiction']
8237;Don Quixote;Miguel de Cervantes;"['Parody', ""Children's literature"", 'Psychological novel', 'Satire', 'Farce', 'Picaresque novel', 'Fiction']"
8567;Dune Messiah;Frank Herbert;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction', 'Novel']"
8757;Darwin's Dangerous Idea;Daniel Dennett;['Philosophy', 'Science']
9000;Death of a Hero;Richard Aldington;['Fiction']
9662;Exodus;;['Religious text']
10861;The Trial;Franz Kafka;['Fiction', 'Absurdist fiction', 'Novel']
10862;The Metamorphosis;;"[""Children's literature"", 'Absurdist fiction', 'Novella', 'Speculative fiction', 'Fantasy', 'Fiction']"
10951;Fahrenheit 451;Ray Bradbury;"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Utopian and dystopian fiction', 'Fiction', 'Dystopia']"
11745;Farmer Giles of Ham;J. R. R. Tolkien;['Fantasy', 'Fiction']
12253;Gaudy Night;Dorothy L. Sayers;['Mystery', 'Detective fiction', 'Novel', 'Fiction', 'Suspense']
12653;God Emperor of Dune;Frank Herbert;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
12667;Genesis;;['Religious text']
12995;Gone with the Wind;Margaret Mitchell;['Historical fiction', 'Fiction', 'Novel']
13535;Heart of Darkness;Joseph Conrad;['Fiction', 'Novella', 'Roman à clef']
13871;Heretics of Dune;Frank Herbert;['Science Fiction', 'Speculative fiction', 'Fiction']
14311;Adventures of Huckleberry Finn;Mark Twain;"['Satire', ""Children's literature"", 'Fiction', 'Adventure novel', 'Humour']"
15055;Ivanhoe;Walter Scott;['Historical fiction', 'Fiction', 'Historical novel']
15608;Johnny Got His Gun;Dalton Trumbo;['Fiction', 'Novel']
17414;Icehenge;Kim Stanley Robinson;['Science Fiction', 'Speculative fiction']
19002;Microserfs;Douglas Coupland;['Epistolary novel', 'Fiction']
